item_mdrm,item_desc,context_level1_mdrm,context_level1_desc,context_level1_value
RISKY854,e. Total first tier short-term wholesale funding (sum of items 1.a through 1.d),,,
RISKY858,a. Funding secured by level 2A liquid assets,,,
RISKY862,b. Covered asset exchanges (level 1 to level 2A),,,
RISKY866,c. Total second tier short-term wholesale funding (sum of items 2.a and 2.b),,,
RISKY870,a. Funding secured by level 2B liquid assets,,,
RISKY874,b. Other covered asset exchanges,,,
RISKY878,c. Unsecured wholesale funding obtained within the financial sector,,,
RISKY882,d. Total third tier short-term wholesale funding (sum of items 3.a through 3.c),,,
RISKY886,4. All other components of short-term wholesale funding,,,
RISKY890,"5. Total short-term wholesale funding, by maturity (weighted sum of items 1.e, 2.c, 3.d, and 4)",,,
RISKY839,a. Funding secured by level 1 liquid assets,,,
RISKY843,b. Retail brokered deposits and sweeps,,,
RISKY847,c. Unsecured wholesale funding obtained outside of the financial sector,,,
RISKY851,d. Firm short positions involving level 2B liquid assets or non-HQLA,,,
RISKY855,e. Total first tier short-term wholesale funding (sum of items 1.a through 1.d),,,
RISKY859,a. Funding secured by level 2A liquid assets,,,
RISKY863,b. Covered asset exchanges (level 1 to level 2A),,,
RISKY867,c. Total second tier short-term wholesale funding (sum of items 2.a and 2.b),,,
RISKY871,a. Funding secured by level 2B liquid assets,,,
RISKY875,b. Other covered asset exchanges,,,
RISKY879,c. Unsecured wholesale funding obtained within the financial sector,,,
RISKY883,d. Total third tier short-term wholesale funding (sum of items 3.a through 3.c),,,
RISKY887,4. All other components of short-term wholesale funding,,,
RISKY891,"5. Total short-term wholesale funding, by maturity (weighted sum of items 1.e, 2.c, 3.d, and 4)",,,
RISKY840,a. Funding secured by level 1 liquid assets,,,
RISKY844,b. Retail brokered deposits and sweeps,,,
RISKY848,c. Unsecured wholesale funding obtained outside of the financial sector,,,
RISKY852,d. Firm short positions involving level 2B liquid assets or non-HQLA,,,
RISKY856,e. Total first tier short-term wholesale funding (sum of items 1.a through 1.d),,,
RISKY860,a. Funding secured by level 2A liquid assets,,,
RISKY864,b. Covered asset exchanges (level 1 to level 2A),,,
RISKY868,c. Total second tier short-term wholesale funding (sum of items 2.a and 2.b),,,
RISKY872,a. Funding secured by level 2B liquid assets,,,
RISKY876,b. Other covered asset exchanges,,,
RISKY880,c. Unsecured wholesale funding obtained within the financial sector,,,
RISKY884,d. Total third tier short-term wholesale funding (sum of items 3.a through 3.c),,,
RISKY888,4. All other components of short-term wholesale funding,,,
RISKY892,"5. Total short-term wholesale funding, by maturity (weighted sum of items 1.e, 2.c, 3.d, and 4)",,,
RISKY841,a. Funding secured by level 1 liquid assets,,,
RISKY845,b. Retail brokered deposits and sweeps,,,
RISKY849,c. Unsecured wholesale funding obtained outside of the financial sector,,,
RISKY853,d. Firm short positions involving level 2B liquid assets or non-HQLA,,,
RISKY857,e. Total first tier short-term wholesale funding (sum of items 1.a through 1.d),,,
RISKY861,a. Funding secured by level 2A liquid assets,,,
RISKY865,b. Covered asset exchanges (level 1 to level 2A),,,
RISKY869,c. Total second tier short-term wholesale funding (sum of items 2.a and 2.b),,,
RISKY873,a. Funding secured by level 2B liquid assets,,,
RISKY877,b. Other covered asset exchanges,,,
RISKY881,c. Unsecured wholesale funding obtained within the financial sector,,,
RISKY885,d. Total third tier short-term wholesale funding (sum of items 3.a through 3.c),,,
RISKY889,4. All other components of short-term wholesale funding,,,
RISKY893,"5. Total short-term wholesale funding, by maturity (weighted sum of items 1.e, 2.c, 3.d, and 4)",,,
RISKY894,"6. Total short-term wholesale funding(sum of item 5, Columns A through D)",,,
RISKY895,7. Average risk-weighted assets,,,
RISKY896,8. Short-term wholesale funding metric (item 6 divided by item 7),,,
RISIM337,a. Current exposure of derivative contracts,,,
RISIM339,b. Potential future exposure (PFE) of derivative contracts,,,
RISIY822,c. Gross-up for derivatives collateral,,,
RISIM340,d. Effective notional amount of written credit derivatives,,,
RISIY823,e. Cash variation margin included as an on-balance sheet receivable,,,
RISIY824,f. Exempted central counterparty legs of client-cleared transactions included in items 1(a) and 1(b),,,
RISIY825,g. Effective notional amount offsets and PFE adjustments for sold credit protection,,,
RISIY826,"h. Total derivative exposures (sum of items 1.a. through 1.d, minus the sum of items 1.e through 1.g)",,,
RISIM334,a. Gross SFT assets,,,
RISIN507,b. Counterparty credit risk exposure for SFTs,,,
RISIY827,c. SFT indemnification and other agent-related exposures,,,
RISIY828,d. Gross value of offsetting cash payables,,,
RISIY829,"e. Total SFT exposures (sum of items 2.a through 2.c, minus item 2.d)",,,
RISIY830,a. Other on-balance sheet assets,,,
RISOM337,a. Current exposure of derivative contracts,,,
RISOM339,b. Potential future exposure (PFE) of derivative contracts,,,
RISOY822,c. Gross-up for derivatives collateral,,,
RISOM340,d. Effective notional amount of written credit derivatives,,,
RISOY823,e. Cash variation margin included as an on-balance sheet receivable,,,
RISOY824,f. Exempted central counterparty legs of client-cleared transactions included in items 1(a) and 1(b),,,
RISOY825,g. Effective notional amount offsets and PFE adjustments for sold credit protection,,,
RISOY826,"h. Total derivative exposures (sum of items 1.a. through 1.d, minus the sum of items 1.e through 1.g)",,,
RISOM334,a. Gross SFT assets,,,
RISON507,b. Counterparty credit risk exposure for SFTs,,,
RISOY827,c. SFT indemnification and other agent-related exposures,,,
RISOY828,d. Gross value of offsetting cash payables,,,
RISOY829,"e. Total SFT exposures (sum of items 2.a through 2.c, minus item 2.d)",,,
RISOY830,a. Other on-balance sheet assets,,,
RISIM349,b. Regulatory adjustments,,,
RISOM349,b. Regulatory adjustments,,,
RISIM342,a. Gross notional amount of items subject to a 0% credit conversion factor (CCF),,,
RISIM718,b. Gross notional amount of items subject to a 20% CCF,,,
RISIM346,c. Gross notional amount of items subject to a 50% CCF,,,
RISIM347,d. Gross notional amount of items subject to a 100% CCF,,,
RISIY831,"e. Credit exposure equivalent of other off-balance sheet items (sum of 0.1 times item 4.a, 0.2 times item 4.b, 0.5 times item 4.c, and item 4.d)",,,
RISIY832,"5. Total exposures prior to regulatory deductions (sum of items 1.h, 2.e, 3.a, and 4.e)",,,
RISOM342,a. Gross notional amount of items subject to a 0% credit conversion factor (CCF),,,
RISOM718,b. Gross notional amount of items subject to a 20% CCF,,,
RISOM346,c. Gross notional amount of items subject to a 50% CCF,,,
RISOM347,d. Gross notional amount of items subject to a 100% CCF,,,
RISOY831,"e. Credit exposure equivalent of other off-balance sheet items (sum of 0.1 times item 4.a, 0.2 times item 4.b, 0.5 times item 4.c, and item 4.d)",,,
RISOY832,"5. Total exposures prior to regulatory deductions (sum of items 1.h, 2.e, 3.a, and 4.e)",,,
RISIFC52,"6. Does item 5 represent an average value over the reporting period? (Enter ""1"" for Yes; enter ""0"" for No.)",,,
RISOFC52,"6. Does item 5 represent an average value over the reporting period? (Enter ""1"" for Yes; enter ""0"" for No.)",,,
RISIM335,1. Securities received as collateral in securities lending,,,
RISIM336,2. Cash collateral received in conduit securities lending transactions,,,
RISIM341,3. Credit derivatives sold net of related credit protection bought,,,
RISI2170,4. Total assets,,,
RISIKW01,5. Total off-balance sheet exposures (item 5 minus M.4.),,,
RISIKY47,6. Total nonbank assets,,,
RISOM335,1. Securities received as collateral in securities lending,,,
RISOM336,2. Cash collateral received in conduit securities lending transactions,,,
RISOM341,3. Credit derivatives sold net of related credit protection bought,,,
RISO2170,4. Total assets,,,
RISOKW01,5. Total off-balance sheet exposures (item 5 minus M.4.),,,
RISOKY47,6. Total nonbank assets,,,
RISIM351,1. Funds deposited with or lent to other financial institutions,,,
RISIM355,a. Certificates of deposit,,,
RISIJ458,2. Unused portion of committed lines extended to other financial institutions,,,
RISIM352,a. Secured debt securities,,,
RISIM353,b. Senior unsecured debt securities,,,
RISIM354,c. Subordinated debt securities,,,
RISIM345,d. Commercial paper,,,
RISIM356,e. Equity securities,,,
RISIM357,f. Offsetting short positions in relation to the specific equity securities included in item 3.e,,,
RISIM358,4. Net positive current exposure of securities financing transactions (SFTs) with other financial institutions,,,
RISIM359,a. Net positive fair value,,,
RISIM360,b. Potential future exposure,,,
RISIM362,"6. Total intra-financial system assets (sum of items 1, 2 through 3.e, 4, 5.a, and 5.b, minus item 3.f)",,,
RISOM351,1. Funds deposited with or lent to other financial institutions,,,
RISOM355,a. Certificates of deposit,,,
RISOJ458,2. Unused portion of committed lines extended to other financial institutions,,,
RISOM352,a. Secured debt securities,,,
RISOM353,b. Senior unsecured debt securities,,,
RISOM354,c. Subordinated debt securities,,,
RISOM345,d. Commercial paper,,,
RISOM356,e. Equity securities,,,
RISOM357,f. Offsetting short positions in relation to the specific equity securities included in item 3.e,,,
RISOM358,4. Net positive current exposure of securities financing transactions (SFTs) with other financial institutions,,,
RISOM359,a. Net positive fair value,,,
RISOM360,b. Potential future exposure,,,
RISOM362,"6. Total intra-financial system assets (sum of items 1, 2 through 3.e, 4, 5.a, and 5.b, minus item 3.f)",,,
RISIM363,a. Deposits due to depository institutions,,,
RISIM364,b. Deposits due to non-depository financial institutions,,,
RISIY833,8. Borrowings obtained from other financial institutions,,,
RISIM365,9. Unused portion of committed lines obtained from other financial institutions,,,
RISIM366,10. Net negative current exposure of SFTs with other financial institutions,,,
RISIM367,a. Net negative fair value,,,
RISIM368,b. Potential future exposure,,,
RISIM370,12. Total intra-financial system liabilities (sum of items 7.a through 11.b),,,
RISOM363,a. Deposits due to depository institutions,,,
RISOM364,b. Deposits due to non-depository financial institutions,,,
RISOY833,8. Borrowings obtained from other financial institutions,,,
RISOM365,9. Unused portion of committed lines obtained from other financial institutions,,,
RISOM366,10. Net negative current exposure of SFTs with other financial institutions,,,
RISOM367,a. Net negative fair value,,,
RISOM368,b. Potential future exposure,,,
RISOM370,12. Total intra-financial system liabilities (sum of items 7.a through 11.b),,,
RISIM371,13. Secured debt securities,,,
RISIM372,14. Senior unsecured debt securities,,,
RISIM373,15. Subordinated debt securities,,,
RISI2309,16. Commercial paper,,,
RISIM374,17. Certificates of deposit,,,
RISIM375,18. Common equity,,,
RISIN509,19. Preferred shares and other forms of subordinated funding not captured in item 15,,,
RISIM376,20. Total securities outstanding (sum of items 13 through 19),,,
RISOM371,13. Secured debt securities,,,
RISOM372,14. Senior unsecured debt securities,,,
RISOM373,15. Subordinated debt securities,,,
RISO2309,16. Commercial paper,,,
RISOM374,17. Certificates of deposit,,,
RISOM375,18. Common equity,,,
RISON509,19. Preferred shares and other forms of subordinated funding not captured in item 15,,,
RISOM376,20. Total securities outstanding (sum of items 13 through 19),,,
RISIY834,1. Standby letters of credit extended to other financial institutions,,,
RISOY834,1. Standby letters of credit extended to other financial institutions,,,
RISIM377,a. Australian dollars (AUD),,,
RISIM378,b. Brazilian real (BRL),,,
RISIM379,c. Canadian dollars (CAD),,,
RISIM380,d. Swiss francs (CHF),,,
RISIM381,e. Chinese yuan (CNY),,,
RISIM382,f. Euros (EUR),,,
RISIM383,g. British pounds (GBP),,,
RISIM384,h. Hong Kong dollars (HKD),,,
RISIM385,i. Indian rupee (INR),,,
RISIM386,j. Japanese yen (JPY),,,
RISIY835,k. Mexican pesos (MXN),,,
RISIM387,l. Swedish krona (SEK),,,
RISIM388,m. United States dollars (USD),,,
RISIM390,2. Payments activity (sum of items 1.a through 1.m),,,
RISOM377,a. Australian dollars (AUD),,,
RISOM378,b. Brazilian real (BRL),,,
RISOM379,c. Canadian dollars (CAD),,,
RISOM380,d. Swiss francs (CHF),,,
RISOM381,e. Chinese yuan (CNY),,,
RISOM382,f. Euros (EUR),,,
RISOM383,g. British pounds (GBP),,,
RISOM384,h. Hong Kong dollars (HKD),,,
RISOM385,i. Indian rupee (INR),,,
RISOM386,j. Japanese yen (JPY),,,
RISOY835,k. Mexican pesos (MXN),,,
RISOM387,l. Swedish krona (SEK),,,
RISOM388,m. United States dollars (USD),,,
RISOM390,2. Payments activity (sum of items 1.a through 1.m),,,
RISIM405,3. Assets held as a custodian on behalf of customers,,,
RISOM405,3. Assets held as a custodian on behalf of customers,,,
RISIM406,4. Equity underwriting activity,,,
RISIM407,5. Debt underwriting activity,,,
RISIM408,6. Total underwriting activity (sum of items 4 and 5),,,
RISOM406,4. Equity underwriting activity,,,
RISOM407,5. Debt underwriting activity,,,
RISOM408,6. Total underwriting activity (sum of items 4 and 5),,,
RISIY836,1. New Zealand dollars (NZD),,,
RISIY837,2. Russian rubles (RUB),,,
RISIM389,3. Payments made in the last four quarters in all other currencies,,,
RISIM436,4. Unsecured settlement/clearing lines provided,,,
RISIKW46,a. Securities issued by public sector entities,,,
RISIKW48,b. Other fixed income securities,,,
RISIKW50,c. Listed equities,,,
RISIKW52,d. Other securities,,,
RISIMV93,6. Trading volume - fixed income (sum of items M.5.a and M.5.b),,,
RISIMV95,7. Trading volume - equities and other securities (sum of items M.5.c and M.5.d),,,
RISOY836,1. New Zealand dollars (NZD),,,
RISOY837,2. Russian rubles (RUB),,,
RISOM389,3. Payments made in the last four quarters in all other currencies,,,
RISOM436,4. Unsecured settlement/clearing lines provided,,,
RISOKW46,a. Securities issued by public sector entities,,,
RISOKW48,b. Other fixed income securities,,,
RISOKW50,c. Listed equities,,,
RISOKW52,d. Other securities,,,
RISOMV93,6. Trading volume - fixed income (sum of items M.5.a and M.5.b),,,
RISOMV95,7. Trading volume - equities and other securities (sum of items M.5.c and M.5.d),,,
RISIM409,1. OTC derivative contracts cleared through a central counterparty,,,
RISIM410,2. OTC derivative contracts settled bilaterally,,,
RISIM411,3. Total notional amount of OTC derivative contracts (sum of items 1 and 2),,,
RISOM409,1. OTC derivative contracts cleared through a central counterparty,,,
RISOM410,2. OTC derivative contracts settled bilaterally,,,
RISOM411,3. Total notional amount of OTC derivative contracts (sum of items 1 and 2),,,
RISIM412,4. Trading securities,,,
RISI1773,5. AFS securities,,,
RISIJA22,6. Equity securities with readily determinable fair values not held for trading,,,
RISIM414,"7. Total trading, AFS and equity securities with readily determinable fair values not held for trading (sum of items 4, 5, and 6)",,,
RISIN510,8. Trading AFS and equity securities with readily determinable fair values not held for trading that meet the definition of level 1 liquid assets,,,
RISIN511,"9. Trading AFS and equity securities with readily determinable fair values not held for trading that meet the definition of level 2 liquid assets, with haircuts",,,
RISIN255,"10. Total adjusted trading, AFS and equity securities with readily determinable fair values not held for trading (item 7 minus items 8 and 9)",,,
RISOM412,4. Trading securities,,,
RISO1773,5. AFS securities,,,
RISOJA22,6. Equity securities with readily determinable fair values not held for trading,,,
RISOM414,"7. Total trading, AFS and equity securities with readily determinable fair values not held for trading (sum of items 4, 5, and 6)",,,
RISON510,8. Trading AFS and equity securities with readily determinable fair values not held for trading that meet the definition of level 1 liquid assets,,,
RISON511,"9. Trading AFS and equity securities with readily determinable fair values not held for trading that meet the definition of level 2 liquid assets, with haircuts",,,
RISON255,"10. Total adjusted trading, AFS and equity securities with readily determinable fair values not held for trading (item 7 minus items 8 and 9)",,,
RISIG506,11. Assets valued for accounting purposes using Level 3 measurement inputs,,,
RISOG506,11. Assets valued for accounting purposes using Level 3 measurement inputs,,,
RISI1754,1. Held-to-maturity securities,,,
RISO1754,1. Held-to-maturity securities,,,
RISIM422,1. Foreign claims on an ultimate-risk basis,,,
RISILA95,a. Adjusted foreign claims on an ultimate-risk basis,,,
RISOM422,1. Foreign claims on an ultimate-risk basis,,,
RISOLA95,a. Adjusted foreign claims on an ultimate-risk basis,,,
RISIM423,2. Foreign liabilities (excluding local liabilities in local currency),,,
RISIM424,a. Any foreign liabilities to foreign offices included in item 2,,,
RISIM425,3. Local liabilities in local currency,,,
RISIM426,"4. Total cross-jurisdictional liabilities (sum of items 2 and 3, minus item 2.a)",,,
RISIKY49,5. Cross-jurisdictional activity (sum of items 1(a) and 4),,,
RISOM423,2. Foreign liabilities (excluding local liabilities in local currency),,,
RISOM424,a. Any foreign liabilities to foreign offices included in item 2,,,
RISOM425,3. Local liabilities in local currency,,,
RISOM426,"4. Total cross-jurisdictional liabilities (sum of items 2 and 3, minus item 2.a)",,,
RISOKY49,5. Cross-jurisdictional activity (sum of items 1(a) and 4),,,
RISIKW54,1. Foreign derivative claims on an ultimate-risk basis,,,
RISIKW55,2. Total cross-jurisdictional claims (sum of items 1 and M.1),,,
RISIKW56,3. Foreign derivative liabilities on an immediate-counterparty basis,,,
RISIKW57,4. Consolidated foreign liabilities on an immediate-counterparty basis excluding derivative liabilities,,,
RISIKY50,"5. Total cross-jurisdictional liabilities, including derivatives (sum of items M.3 and M.4)",,,
RISOKW54,1. Foreign derivative claims on an ultimate-risk basis,,,
RISOKW55,2. Total cross-jurisdictional claims (sum of items 1 and M.1),,,
RISOKW56,3. Foreign derivative liabilities on an immediate-counterparty basis,,,
RISOKW57,4. Consolidated foreign liabilities on an immediate-counterparty basis excluding derivative liabilities,,,
RISOKY50,"5. Total cross-jurisdictional liabilities, including derivatives (sum of items M.3 and M.4)",,,
RISKM351,1. Funds deposited with or lent to other financial institutions,,,
RISKM355,a. Certificates of deposit,,,
RISKJ458,2. Unused portion of committed lines extended to other financial institutions,,,
RISKM352,a. Secured debt securities,,,
RISKM353,b. Senior unsecured debt securities,,,
RISKM354,c. Subordinated debt securities,,,
RISKM345,d. Commercial paper,,,
RISKM356,e. Equity securities,,,
RISKM357,f. Offsetting short positions in relation to the specific equity securities included in item 3.e,,,
RISKM358,4. Net positive current exposure of securities financing transactions (SFTs) with other financial institutions,,,
RISKM359,a. Net positive fair value ,,,
RISKM360,b. Potential future exposure,,,
RISKM362,"6. Total intra-financial system assets (sum of items 1, 2 through 3.e, 4, 5.a, and 5.b, minus item 3.f)",,,
RISKM363,a. Deposits due to depository institutions,,,
RISKM364,b. Deposits due to non-depository financial institutions,,,
RISKY833,8. Borrowings obtained from other financial institutions,,,
RISKM365,9. Unused portion of committed lines obtained from other financial institutions,,,
RISKM366,10. Net negative current exposure of SFTs with other financial institutions,,,
RISKM367,a. Net negative fair value,,,
RISKM368,b. Potential future exposure,,,
RISKM370,12. Total intra-financial system liabilities (sum of items 7.a through 11.b),,,
RISKM371,13. Secured debt securities,,,
RISKM372,14. Senior unsecured debt securities,,,
RISKM373,15. Subordinated debt securities,,,
RISK2309,16. Commercial paper,,,
RISKM374,17. Certificates of deposit,,,
RISKM375,18. Common equity,,,
RISKN509,19. Preferred shares and other forms of subordinated funding not captured in item 15,,,
RISKM376,20. Total securities outstanding (sum of items 13 through 19),,,
RISKY834,1. Standby letters of credit extended to other financial institutions,,,
RISI2948,1. Total liabilities,,,
RISIM427,2. Retail funding ,,,
RISIM430,3. Total gross revenue,,,
RISO2948,1. Total liabilities,,,
RISOM427,2. Retail funding ,,,
RISOM430,3. Total gross revenue,,,
RISIM428,4. Total net revenue,,,
RISIM429,5. Foreign net revenue,,,
RISOM428,4. Total net revenue,,,
RISOM429,5. Foreign net revenue,,,
RISIM432,6. Gross value of cash provided and gross fair value of securities provided in securities financing transactions (SFTs),,,
RISIM433,7. Gross value of cash received and gross fair value of securities received in SFTs,,,
RISIM434,8. Gross positive fair value of over-the-counter (OTC) derivative contracts,,,
RISIM435,9. Gross negative fair value of OTC derivative contracts,,,
RISOM432,6. Gross value of cash provided and gross fair value of securities provided in securities financing transactions (SFTs),,,
RISOM433,7. Gross value of cash received and gross fair value of securities received in SFTs,,,
RISOM434,8. Gross positive fair value of over-the-counter (OTC) derivative contracts,,,
RISOM435,9. Gross negative fair value of OTC derivative contracts,,,
RISIM437,10. Number of jurisdictions,,,
RISOM437,10. Number of jurisdictions,,,
RISIY838,a. Funding secured by level 1 liquid assets,,,
RISIY842,b. Retail brokered deposits and sweeps,,,
RISIY846,c. Unsecured wholesale funding obtained outside of the financial sector,,,
RISIY850,d. Firm short positions involving level 2B liquid assets or non-HQLA,,,
RISIY854,e. Total first tier short-term wholesale funding (sum of items 1.a through 1.d),,,
RISIY858,a. Funding secured by level 2A liquid assets,,,
RISIY862,b. Covered asset exchanges (level 1 to level 2A),,,
RISIY866,c. Total second tier short-term wholesale funding (sum of items 2.a. and 2.b),,,
RISIY870,a. Funding secured by level 2B liquid assets,,,
RISIY874,b. Other covered asset exchanges,,,
RISIY878,c. Unsecured wholesale funding obtained within the financial sector,,,
RISIY882,d. Total third tier short-term wholesale funding (sum of items 3.a through 3.c),,,
RISIY886,4. All other components of short-term wholesale funding,,,
RISIY890,"5. Total short-term wholesale funding, by maturity (weighted sum of items 1.e, 2.c, 3.d, and 4)",,,
RISOY838,a. Funding secured by level 1 liquid assets,,,
RISOY842,b. Retail brokered deposits and sweeps,,,
RISOY846,c. Unsecured wholesale funding obtained outside of the financial sector,,,
RISOY850,d. Firm short positions involving level 2B liquid assets or non-HQLA,,,
RISOY854,e. Total first tier short-term wholesale funding (sum of items 1.a through 1.d),,,
RISOY858,a. Funding secured by level 2A liquid assets,,,
RISOY862,b. Covered asset exchanges (level 1 to level 2A),,,
RISOY866,c. Total second tier short-term wholesale funding (sum of items 2.a. and 2.b),,,
RISOY870,a. Funding secured by level 2B liquid assets,,,
RISOY874,b. Other covered asset exchanges,,,
RISOY878,c. Unsecured wholesale funding obtained within the financial sector,,,
RISOY882,d. Total third tier short-term wholesale funding (sum of items 3.a through 3.c),,,
RISOY886,4. All other components of short-term wholesale funding,,,
RISOY890,"5. Total short-term wholesale funding, by maturity (weighted sum of items 1.e, 2.c, 3.d, and 4)",,,
RISIY839,a. Funding secured by level 1 liquid assets,,,
RISIY843,b. Retail brokered deposits and sweeps,,,
RISIY847,c. Unsecured wholesale funding obtained outside of the financial sector,,,
RISIY851,d. Firm short positions involving level 2B liquid assets or non-HQLA,,,
RISIY855,e. Total first tier short-term wholesale funding (sum of items 1.a through 1.d),,,
RISIY859,a. Funding secured by level 2A liquid assets,,,
RISIY863,b. Covered asset exchanges (level 1 to level 2A),,,
RISIY867,c. Total second tier short-term wholesale funding (sum of items 2.a. and 2.b),,,
RISIY871,a. Funding secured by level 2B liquid assets,,,
RISIY875,b. Other covered asset exchanges,,,
RISIY879,c. Unsecured wholesale funding obtained within the financial sector,,,
RISIY883,d. Total third tier short-term wholesale funding (sum of items 3.a through 3.c),,,
RISIY887,4. All other components of short-term wholesale funding,,,
RISIY891,"5. Total short-term wholesale funding, by maturity (weighted sum of items 1.e, 2.c, 3.d, and 4)",,,
RISOY839,a. Funding secured by level 1 liquid assets,,,
RISOY843,b. Retail brokered deposits and sweeps,,,
RISOY847,c. Unsecured wholesale funding obtained outside of the financial sector,,,
RISOY851,d. Firm short positions involving level 2B liquid assets or non-HQLA,,,
RISOY855,e. Total first tier short-term wholesale funding (sum of items 1.a through 1.d),,,
RISOY859,a. Funding secured by level 2A liquid assets,,,
RISOY863,b. Covered asset exchanges (level 1 to level 2A),,,
RISOY867,c. Total second tier short-term wholesale funding (sum of items 2.a. and 2.b),,,
RISOY871,a. Funding secured by level 2B liquid assets,,,
RISOY875,b. Other covered asset exchanges,,,
RISOY879,c. Unsecured wholesale funding obtained within the financial sector,,,
RISOY883,d. Total third tier short-term wholesale funding (sum of items 3.a through 3.c),,,
RISOY887,4. All other components of short-term wholesale funding,,,
RISOY891,"5. Total short-term wholesale funding, by maturity (weighted sum of items 1.e, 2.c, 3.d, and 4)",,,
RISIY840,a. Funding secured by level 1 liquid assets,,,
RISIY844,b. Retail brokered deposits and sweeps,,,
RISIY848,c. Unsecured wholesale funding obtained outside of the financial sector,,,
RISIY852,d. Firm short positions involving level 2B liquid assets or non-HQLA,,,
